band_value,n,n_default,default_rate,band_column
Q1,22238,4276,0.19228347873010163,age_band
Q2,17487,2419,0.13833133184651455,age_band
Q3,18596,1854,0.09969885996988599,age_band
Q4,20842,1467,0.07038671912484407,age_band
Q5,17586,722,0.041055384965313316,age_band
Q1,19359,3566,0.18420372953148406,income_band
Q2,19377,2451,0.1264901687567735,income_band
Q3,19488,2006,0.10293513957307061,income_band
Q4,19254,1598,0.08299574114469721,income_band
Q5,19271,1117,0.05796274194385346,income_band
BUSINESS_OWNER,11983,1156,0.09646999916548443,employment_type
SALARIED,60474,6478,0.10712041538512418,employment_type
SELF_EMPLOYED,21061,2389,0.11343241061677983,employment_type
UNEMPLOYED,3231,715,0.22129371711544413,employment_type
AUTO,19322,1574,0.08146154642376566,loan_type
BUSINESS,9558,1039,0.1087047499476878,loan_type
CREDIT_CARD,14339,792,0.05523397726480229,loan_type
EDUCATION,9653,677,0.07013363721122967,loan_type
HOME,14494,4644,0.32040844487374087,loan_type
PERSONAL,29383,2012,0.0684749685192118,loan_type
Q1,19593,3916,0.19986729954575613,credit_history_band
Q2,19199,2738,0.1426115943538726,credit_history_band
Q3,19733,1963,0.09947803172350884,credit_history_band
Q4,19161,1372,0.07160377850842858,credit_history_band
Q5,19063,749,0.039290772701043905,credit_history_band
0-30,43525,3261,0.07492245835726594,utilization_band
30-50,36330,4267,0.11745114230663363,utilization_band
50-70,14281,2531,0.17722848540018207,utilization_band
70-90,2526,648,0.25653206650831356,utilization_band
90+,87,31,0.3563218390804598,utilization_band
0,32251,3388,0.1050510061703513,dependents
1,35467,3970,0.11193503820452816,dependents
2,19344,2259,0.1167803970223325,dependents
3,7177,814,0.1134178626166922,dependents
4,2000,229,0.1145,dependents
5,416,59,0.14182692307692307,dependents
6,94,19,0.20212765957446807,dependents
1,33899,3401,0.10032744328741261,city_tier
2,38744,4329,0.11173342969233946,city_tier
3,24106,3008,0.12478221189745292,city_tier
