feature,decile,bin,min_value,max_value,n,n_default,default_rate
age,1,"(17.999, 27.0]",18.0,27.0,11329,2411,0.21281666519551592
age,2,"(27.0, 31.0]",28.0,31.0,10909,1865,0.17095975799798332
age,3,"(31.0, 33.0]",32.0,33.0,6792,1052,0.15488810365135453
age,4,"(33.0, 36.0]",34.0,36.0,10695,1367,0.12781673679289388
age,5,"(36.0, 39.0]",37.0,39.0,11479,1190,0.10366756686122484
age,6,"(39.0, 41.0]",40.0,41.0,7117,664,0.09329773781087537
age,7,"(41.0, 44.0]",42.0,44.0,10294,820,0.07965805323489411
age,8,"(44.0, 48.0]",45.0,48.0,10548,647,0.061338642396662875
age,9,"(48.0, 53.0]",49.0,53.0,9235,465,0.050351922035733625
age,10,"(53.0, 100.0]",54.0,100.0,8351,257,0.03077475751407017
dependents,1,"(-0.001, 1.0]",0.0,1.0,67718,7358,0.10865648719690481
dependents,2,"(1.0, 2.0]",2.0,2.0,19344,2259,0.1167803970223325
dependents,3,"(2.0, 3.0]",3.0,3.0,7177,814,0.1134178626166922
dependents,4,"(3.0, 6.0]",4.0,6.0,2510,307,0.12231075697211155
employment_years,1,"(-0.001, 3.28]",0.0,3.280104833446774,9676,2115,0.21858205870194294
employment_years,2,"(3.28, 5.809]",3.28013854704452,5.809177801986292,9675,1745,0.18036175710594315
employment_years,3,"(5.809, 7.816]",5.809234320309358,7.815901223861487,9675,1446,0.14945736434108528
employment_years,4,"(7.816, 9.527]",7.816336822674245,9.526778662396245,9674,1242,0.1283853628281993
employment_years,5,"(9.527, 11.195]",9.527020346231494,11.195195514808525,9676,1096,0.11326994625878462
employment_years,6,"(11.195, 12.773]",11.195923203167368,12.773023059589661,9673,921,0.09521348082290913
employment_years,7,"(12.773, 14.535]",12.773549394957643,14.534490047097421,9675,767,0.0792764857881137
employment_years,8,"(14.535, 16.617]",14.534965991980238,16.61698290287492,9675,584,0.06036175710594315
employment_years,9,"(16.617, 19.492]",16.61705005426748,19.492030307371508,9675,512,0.05291989664082687
employment_years,10,"(19.492, 33.991]",19.493005655775725,33.99080017660938,9675,310,0.03204134366925065
annual_income,1,"(62305.809, 149102.081]",62305.810391495725,149096.60914896868,9675,1991,0.20578811369509045
annual_income,2,"(149102.081, 202266.539]",149103.44945089932,202264.5110517861,9675,1572,0.16248062015503875
annual_income,3,"(202266.539, 248281.223]",202267.89145742645,248279.95017364548,9675,1239,0.12806201550387597
annual_income,4,"(248281.223, 296013.672]",248283.13271599959,296010.4827732156,9675,1212,0.12527131782945736
annual_income,5,"(296013.672, 346389.76]",296026.42845389515,346389.7601128902,9675,1019,0.10532299741602068
annual_income,6,"(346389.76, 405195.347]",346393.1562217846,405149.7121925732,9674,968,0.10006202191440976
annual_income,7,"(405195.347, 478088.411]",405206.756217315,478088.41104826285,9676,858,0.08867300537412154
annual_income,8,"(478088.411, 581830.471]",478117.00585252023,581830.4709287463,9675,758,0.07834625322997416
annual_income,9,"(581830.471, 760062.516]",581850.233648127,760062.5163076,9675,629,0.06501291989664083
annual_income,10,"(760062.516, 1338453.571]",760110.550223203,1338453.5708556876,9674,492,0.05085796981600165
city_tier,1,"(0.999, 2.0]",1.0,2.0,72643,7730,0.10641080351857715
city_tier,2,"(2.0, 3.0]",3.0,3.0,24106,3008,0.12478221189745292
loan_amount,1,"(22537.593, 62130.472]",22537.59390372558,62124.767173037995,9675,990,0.10232558139534884
loan_amount,2,"(62130.472, 98305.995]",62131.89823571794,98304.00164736186,9675,844,0.08723514211886305
loan_amount,3,"(98305.995, 136949.558]",98307.32348178941,136948.47708213134,9675,758,0.07834625322997416
loan_amount,4,"(136949.558, 180032.899]",136951.1783513958,180032.39710475528,9675,739,0.07638242894056847
loan_amount,5,"(180032.899, 234642.369]",180034.90745219594,234642.36945264647,9675,661,0.06832041343669251
loan_amount,6,"(234642.369, 308857.783]",234650.33791096116,308851.85960845655,9674,738,0.07628695472400249
loan_amount,7,"(308857.783, 422946.147]",308859.2641094742,422939.4739182233,9675,755,0.07803617571059432
loan_amount,8,"(422946.147, 640618.688]",422950.5962847142,640606.0510699882,9675,1024,0.10583979328165374
loan_amount,9,"(640618.688, 1203859.227]",640637.6432993924,1203855.2482478418,9675,1651,0.17064599483204135
loan_amount,10,"(1203859.227, 3810880.796]",1203875.1397320998,3810880.796324685,9675,2578,0.2664599483204134
loan_tenure_months,1,"(5.999, 16.0]",6.0,16.0,10556,656,0.062144751799924215
loan_tenure_months,2,"(16.0, 22.0]",17.0,22.0,9357,658,0.07032168430052367
loan_tenure_months,3,"(22.0, 28.0]",23.0,28.0,9263,664,0.07168304005181907
loan_tenure_months,4,"(28.0, 35.0]",29.0,35.0,10588,762,0.07196826596146581
loan_tenure_months,5,"(35.0, 43.0]",36.0,43.0,9033,681,0.07539023580205911
loan_tenure_months,6,"(43.0, 52.0]",44.0,52.0,9813,752,0.07663303780699073
loan_tenure_months,7,"(52.0, 61.0]",53.0,61.0,9260,752,0.08120950323974083
loan_tenure_months,8,"(61.0, 81.0]",62.0,81.0,9705,822,0.08469860896445132
