,age,dependents,employment_years,annual_income,city_tier,loan_amount,loan_tenure_months,interest_rate,monthly_income,monthly_expenses,existing_loan_count,existing_loan_amount,monthly_emi,savings_balance,total_assets,total_liabilities,credit_history_months,num_credit_accounts,total_credit_limit,total_outstanding,previous_defaults,late_payments_12m,missed_payments_12m,active_loans,closed_loans,dti,emi_to_income,credit_utilization,loan_to_income,proposed_emi,post_loan_dti,savings_to_income,net_worth,leverage_ratio,disposable_income,months_of_runway,delinquency_rate,has_prior_default,credit_history_years,accounts_per_year,active_loan_ratio,employment_stability,income_per_dependent
age,1.0,0.0014391142748838423,0.813076917407136,0.13153603476607864,0.0017082515268995201,0.05856169941454219,0.004565317864855462,-0.0024242845104983347,0.13106455687924345,0.1215703871683875,0.005227437380467502,0.07260940544775485,0.07331151531204586,0.08690280878331508,0.09596929664966317,0.2594041196410055,0.9188143071524398,0.7188756247814837,0.32677307674278094,0.2665080759171122,-0.0072967901787262986,3.6629380055565664e-05,-0.005292029610281194,0.005041548237506997,0.7620472837811814,-0.00011386413986063821,0.008627698318552313,0.004183057037103259,0.004996477205641952,0.07968332137118404,0.0018179081780943874,-0.008968664420940494,-0.20766164632531547,0.11777201464422474,0.0963110572548335,-0.005948822627771596,-0.26838100584705665,-0.009198786387789138,0.9188143071524424,-0.38455282471355395,-0.38661037685308103,-0.08539901375903002,0.0965633251978919
dependents,0.0014391142748838423,1.0,0.001185128345459428,0.00545422043561003,-0.0011409283366633006,0.0021086366257177885,-0.00019781875589652267,0.005805567509376712,0.005652861925631411,0.05752104893195706,0.012005766230817715,0.006850823037584839,0.006969252472418691,-0.010950368242570367,0.004000623994414522,0.01835449273454608,0.00048492019383179465,0.0005459100082769974,0.0036609888093262575,0.018632019859166613,-0.004152693479207379,0.0011365939081879395,0.0007025832543878662,0.00928190224316023,0.004907720653709729,0.13306755281354204,0.007071636491442039,0.029061112335396516,-0.0009647568629124047,0.002868698250416161,0.0753807778107277,-0.022580540488433866,-0.016997661964777845,0.01009528067511823,-0.07025868472148865,-0.08182628815905943,-0.001796371709609383,-0.002840915592292675,0.00048492019383165414,0.004076166027525872,0.008516000101857593,-0.0015411128925935374,-0.5060212365419211
employment_years,0.813076917407136,0.001185128345459428,1.0,0.18277868374113668,-0.0007031608553078995,0.08045529748244219,0.004548237665367356,-0.002363244009394,0.1822828984109398,0.17057976505076108,0.005112896738549287,0.09773579215654477,0.0985081218976652,0.12726353781069005,0.13369843164941497,0.2807973909895826,0.8353076147561223,0.6528543868464521,0.3518784170184599,0.28552907980480335,-0.00834008344437803,0.0009163331437448704,-0.003811708941525678,0.005723872482093849,0.6914264946067062,0.0008580624355739563,0.007318318993058101,0.002514395930861678,0.004428061007373889,0.1085414995349298,0.0005393776142219362,-0.004739908497879255,-0.20016208014464199,0.10825201876958603,0.13351717135481594,-0.0009578108173961149,-0.24699378492221566,-0.01107989121877604,0.8353076147561334,-0.3490309245127244,-0.35027826409903123,0.15174743226082227,0.13482948558680855
annual_income,0.13153603476607864,0.00545422043561003,0.18277868374113668,1.0,-0.19728886667337708,0.42038242759250133,0.0010387691705205165,-0.0026000934956429333,0.9953343825306008,0.9329112390267278,0.009719233184388805,0.5212702569128543,0.5213661154755128,0.7053529582681607,0.7366914346751063,0.699759496151102,0.13599487200144933,0.10603081702169546,0.8360862810487664,0.6700153284650215,0.0002291690559046088,-0.007708288523100681,-0.0013548618150040163,0.008706911234635168,0.10920356294812536,-0.0003805347628339487,0.008975637182617624,-0.0026787051397343226,-0.017474714507406706,0.580710561875299,-0.006550166581799779,-0.00821332447886939,-0.1655299397397649,0.03704489273375945,0.7349137690906014,-0.0066248800852905295,-0.04045762640249452,0.002441304956411215,0.1359948720014501,-0.05360689589042547,-0.046662230403871824,0.02731117102872982,0.7385155850122151
city_tier,0.0017082515268995201,-0.0011409283366633006,-0.0007031608553078995,-0.19728886667337708,1.0,-0.08561487184270539,0.003495899432698405,-0.002610181456818834,-0.19705809098900465,-0.18323653493547096,-0.0013190550108624084,-0.1000515165163724,-0.1005734104451196,-0.1364067176365831,-0.14557143816490398,-0.13493743970255911,-0.0005021516289854372,0.0017312034973071303,-0.15600556963792342,-0.12933882673314592,0.013084767476877066,0.0007865982552224819,0.007328204913346493,0.0012337469506420702,0.0025185951495167737,0.003566641326096218,-0.0017594059647131417,-0.006600595757519138,0.0035940585134723495,-0.11771670427540329,0.001403048049907567,0.008955240169238292,0.02901881061094837,-0.005097629570625397,-0.14879882535477995,0.005024462071034532,0.0012921963755489834,0.011594110017005327,-0.0005021516289854505,0.0008886306492110395,-0.0028992971659668933,-0.0011968973569896936,-0.1450650689411207
loan_amount,0.05856169941454219,0.0021086366257177885,0.08045529748244219,0.42038242759250133,-0.08561487184270539,1.0,0.6694205306188338,-0.3391532239758824,0.4187151174201709,0.39244855682666224,0.007993261812477117,0.224677628157734,0.2247001786800527,0.2952553556808206,0.3107056122745543,0.2944468356899689,0.060562522763391524,0.041487070070239475,0.3531142700530902,0.28097490914531437,-0.0027131731562966455,-0.0020569045432716052,-0.006173957295679831,0.006238502498469206,0.053118556287096705,0.0009656899344168252,0.005943748765654875,-0.0017075348151554689,0.7753593018385405,0.5714979867345216,0.3065001496766558,-0.004873978919372762,-0.0690587591707813,0.013409127668755924,0.3065977708719112,-0.003285935047993478,-0.016077893056111608,-0.004753248334077995,0.06056252276339206,-0.02824820022821064,-0.02163213218023675,0.015346217420895052,0.3103218198556779
loan_tenure_months,0.004565317864855462,-0.00019781875589652267,0.004548237665367356,0.0010387691705205165,0.003495899432698405,0.6694205306188338,1.0,-0.4217795477951995,0.001127883454202689,0.00021456937677288366,0.0013125527145573456,0.0021139126953973186,0.002235135871664397,0.0016898079464387659,-7.049262975789641e-05,-0.00026043914734070664,0.004481020980800659,-0.0016152115791978037,1.7095156041162537e-05,-0.000674045221187578,-0.0038789027566159926,0.0017133606916316653,-0.0054002692832456735,0.0008839894572581524,0.0075830112258266046,-0.0018964905898712638,-0.0014488590147715532,0.001751586698009213,0.823381494526574,0.053921053202162166,0.07685608561508796,0.0038823408873336234,0.0002298492348712503,0.001457876456509002,0.0012152258415389318,0.004874567062652195,0.0012954839598312495,-0.007303018300202834,0.004481020980800576,-0.008738106335187696,-0.004369018684568028,0.005647532066687285,0.0007532319719826046
interest_rate,-0.0024242845104983347,0.005805567509376712,-0.002363244009394,-0.0026000934956429333,-0.002610181456818834,-0.3391532239758824,-0.4217795477951995,1.0,-0.00246426437251873,-0.0012685656770368163,0.0020869666717927603,-0.004285348135008086,-0.0042480154546311235,0.002583379466954603,-0.00213631194383523,-0.004929466606094335,-0.001872997832116166,0.0020350071543483875,-0.0038317675130168927,-0.004740039524255313,0.1459011843162506,0.18947590739987585,0.18864970941906112,0.00200714716655007,-0.006089825253962894,0.0019888554482812336,0.0001734977208452738,-0.0033779777779507966,-0.4127596145478963,-0.09989139930877407,-0.11781388674974916,0.0026884910494436383,0.003688003883809723,-0.001450860431786207,-0.0018489217747448112,0.0011885160215571156,0.15841882318095699,0.14995009094500397,-0.0018729978321160834,0.0020833555704034223,0.004582464154315291,-0.002070482831456559,-0.00984926475892755
monthly_income,0.13106455687924345,0.005652861925631411,0.1822828984109398,0.9953343825306008,-0.19705809098900465,0.4187151174201709,0.001127883454202689,-0.00246426437251873,1.0,0.9298351030320864,0.009539410554779654,0.5192346944975286,0.519382329474507,0.7035087116291717,0.7341816408316417,0.6955227958100738,0.1356306156114351,0.10607634711266407,0.8322009330973558,0.6657591768361892,1.843037554551684e-05,-0.007437721082672678,-0.0016536034031991616,0.008253607736124399,0.10923875978622717,-0.016881767995881307,0.004416920302520349,-0.004510960803278183,-0.017314457801560768,0.5777230616221714,-0.020708524876655057,-0.014959870584849377,-0.1629166906118588,0.035543672217432556,0.750822543027714,-0.006353365855219826,-0.04043851636919975,0.0025255495751728744,0.13563061561143583,-0.053094994066601814,-0.046923571680190644,0.026781706253895705,0.7417369650589578
monthly_expenses,0.1215703871683875,0.05752104893195706,0.17057976505076108,0.9329112390267278,-0.18323653493547096,0.39244855682666224,0.00021456937677288366,-0.0012685656770368163,0.9298351030320864,1.0,0.011273062561113222,0.488311086681107,0.4887358776719633,0.6389397872433158,0.6867999023131819,0.6795395050492574,0.12668897956928968,0.10044146700815051,0.7810307678921757,0.6534443750590717,0.002935004849362676,-0.005848612176131755,-0.00041959306561638565,0.01026920839957151,0.1021755625376436,0.23616933211749266,0.011856763005716316,0.03868803473858537,-0.016467609834470914,0.5419926210545455,0.12446269089373507,-0.03300606438680898,-0.18437294676292348,0.04751578629215257,0.5073488384218269,-0.135576433770083,-0.03594019253083717,0.005120665979972924,0.12668897956929004,-0.04761184597373285,-0.04102650625708881,0.028786644656986403,0.6528541746167673
existing_loan_count,0.005227437380467502,0.012005766230817715,0.005112896738549287,0.009719233184388805,-0.0013190550108624084,0.007993261812477117,0.0013125527145573456,0.0020869666717927603,0.009539410554779654,0.011273062561113222,1.0,0.5618316378621604,0.5613247563826833,-0.025016469225503005,-0.0004904572731018447,0.12802958397881345,0.003734242453215632,0.005179926594822681,0.005551959756105172,0.051608650966888325,0.0029918462048837556,-0.004615929018952439,-0.003937404942635499,0.8020028194803182,-0.0036470349105008717,0.4728131018636126,0.7680771107991521,0.08862161407373137,0.0027032769445677254,0.005544223043910645,0.2632127836381667,-0.05294769293583831,-0.1420194421895996,0.08907636538157662,-0.26262979919223084,-0.04916207360559978,-0.0042870569604618975,0.008619396471813338,0.003734242453215774,-0.008208518746706604,0.4934683243278529,0.002277059244839608,0.002086946945934549
existing_loan_amount,0.07260940544775485,0.006850823037584839,0.09773579215654477,0.5212702569128543,-0.1000515165163724,0.224677628157734,0.0021139126953973186,-0.004285348135008086,0.5192346944975286,0.488311086681107,0.5618316378621604,1.0,0.9957706936874529,0.3324966628102151,0.3768485190343263,0.518392405649988,0.07308075562499752,0.06219889326664366,0.4352998201378513,0.40667159096478855,-0.0022188332724158216,-0.013939000503754517,-0.00909494298886573,0.43485664093295373,0.0543366397953841,0.4379031179815782,0.7210528198206756,0.0778394322280635,-0.007444065276569776,0.3035984001088093,0.23906086363227835,-0.05059526343710157,-0.26213491650058834,0.10342171855421144,0.03446732658538602,-0.044931031426891005,-0.028839113073616345,0.0044604870286331765,0.07308075562499812,-0.0320124291029145,0.24746622674673538,0.01341337277435869,0.38015366054037875
monthly_emi,0.07331151531204586,0.006969252472418691,0.0985081218976652,0.5213661154755128,-0.1005734104451196,0.2247001786800527,0.002235135871664397,-0.0042480154546311235,0.519382329474507,0.4887358776719633,0.5613247563826833,0.9957706936874529,1.0,0.33257291667870265,0.3769114834135883,0.5184020085662742,0.0738384552739834,0.06290111582503984,0.4360184063838707,0.40730819881437524,-0.002241743838209327,-0.013631919258240786,-0.008939339609190352,0.43411566966352855,0.05529057649490464,0.44063437930011246,0.7247202896888548,0.07801768656798429,-0.007284565443680783,0.30349151964227417,0.2405701357074347,-0.05069695665775335,-0.2620935322150431,0.10332366441816594,0.03219018346513537,-0.04534665227399604,-0.02856521389455722,0.004321803443881189,0.07383845527398444,-0.03191753820366793,0.24648019755818623,0.013658706296400175,0.38017735060033736
savings_balance,0.08690280878331508,-0.010950368242570367,0.12726353781069005,0.7053529582681607,-0.1364067176365831,0.2952553556808206,0.0016898079464387659,0.002583379466954603,0.7035087116291717,0.6389397872433158,-0.025016469225503005,0.3324966628102151,0.33257291667870265,1.0,0.63054256768437,0.42219717591492745,0.09249414439929991,0.07325654995187925,0.5892401832435277,0.40139377002493665,0.007388961727408015,-0.0036574653168780376,0.005657132286793737,-0.01990681345229553,0.0744849757959429,-0.0635262404156508,-0.03417711999555483,-0.10541798039529143,-0.013492649677489501,0.40899302248115227,-0.042386807373403966,0.5979074528316308,0.05380867875944572,-0.12967426118184097,0.5650427192835143,0.5495053149784332,-0.026201120109234557,0.011368602477845283,0.09249414439929965,-0.03383240243470426,-0.043770359844603764,0.02296799978669113,0.5356410300326835
total_assets,0.09596929664966317,0.004000623994414522,0.13369843164941497,0.7366914346751063,-0.14557143816490398,0.3107056122745543,-7.049262975789641e-05,-0.00213631194383523,0.7341816408316417,0.6867999023131819,-0.0004904572731018447,0.3768485190343263,0.3769114834135883,0.63054256768437,1.0,0.4956667646063227,0.09904119355234939,0.07512737365052041,0.6127494740805263,0.4734397090130609,0.0077314005880677735,-0.00507063511836512,0.0044211763555262245,-0.0010491069792141381,0.08125792198395658,-0.0109085835058509,-0.002517232569951624,-0.02927689965561782,-0.014000008445609299,0.4292407163192909,-0.010871356498989985,0.12516893303150178,0.277700991416461,-0.28954908182656397,0.5476144373900297,0.11428142767846654,-0.027123382162351314,0.009498199816731775,0.09904119355235104,-0.03993115391338125,-0.03766212847525174,0.018561035514859787,0.5435260257728141
