feature,type,iv,interpretation
loan_to_income,numeric,0.65964244064442,suspiciously strong - investigate for leakage
loan_type,categorical,0.6009838371387749,suspiciously strong - investigate for leakage
loan_tenure_months,numeric,0.4869094868092618,strong
post_loan_dti,numeric,0.4786718015082625,strong
savings_balance,numeric,0.47562484849984205,strong
credit_history_years,numeric,0.37690937998198776,strong
credit_history_months,numeric,0.37690937998198776,strong
months_of_runway,numeric,0.3739140671035068,strong
disposable_income,numeric,0.3715473089389064,strong
age,numeric,0.3478885029359817,strong
employment_years,numeric,0.34749177748576554,strong
age_band,categorical,0.3320719195455175,strong
tenure_band,categorical,0.32996662182445824,strong
savings_to_income,numeric,0.30853053160761496,strong
loan_amount,numeric,0.2946870291527732,medium
closed_loans,numeric,0.2533091842467983,medium
total_credit_limit,numeric,0.2502791913820503,medium
num_credit_accounts,numeric,0.23162607266675939,medium
dti,numeric,0.1948852239014834,medium
monthly_income,numeric,0.19385117869461646,medium
annual_income,numeric,0.19057545627006475,medium
credit_utilization,numeric,0.1897451080139929,medium
income_band,categorical,0.18175049652411557,medium
total_assets,numeric,0.17261895559589407,medium
active_loan_ratio,numeric,0.17248354065164187,medium
utilization_band,categorical,0.16296494821929589,medium
delinquency_rate,numeric,0.15295253171596362,medium
income_per_dependent,numeric,0.14238046505188942,medium
emi_to_income,numeric,0.11918274979929126,medium
net_worth,numeric,0.10688029943106288,medium
previous_defaults,numeric,0.10601751714820652,medium
employment_stability,numeric,0.10401292451637625,medium
monthly_expenses,numeric,0.10364995309145938,medium
accounts_per_year,numeric,0.10311566589092583,medium
interest_rate,numeric,0.09604652252831572,weak
existing_loan_count,numeric,0.07689123382305739,weak
late_payments_12m,numeric,0.07496966248593921,weak
leverage_ratio,numeric,0.07331127481429821,weak
has_prior_default,numeric,0.07247331066349473,weak
active_loans,numeric,0.04551010417959361,weak
total_outstanding,numeric,0.03242803177031289,weak
employment_type,categorical,0.030797468753160275,weak
monthly_emi,numeric,0.028467052662087728,weak
total_liabilities,numeric,0.028250374801408785,weak
existing_loan_amount,numeric,0.02684311317396803,weak
missed_payments_12m,numeric,0.015751093508168137,useless
education,categorical,0.015076370890514763,useless
proposed_emi,numeric,0.012315959402213377,useless
city_tier,numeric,0.00864644524697631,useless
dependents,numeric,0.0036519685119984755,useless
loan_purpose,categorical,0.0006258535312682613,useless
gender,categorical,0.0003797635895498891,useless
marital_status,categorical,0.000121479694323515,useless
