feature,point_biserial_r,p_value
loan_to_income,0.3264254574733313,0.0
loan_tenure_months,0.2597746038003531,0.0
post_loan_dti,0.20070438251179112,0.0
credit_history_years,-0.18062063082859683,0.0
credit_history_months,-0.18062063082859683,0.0
loan_amount,0.17896676738972928,0.0
employment_years,-0.17671211065445358,0.0
months_of_runway,-0.17323535323546452,0.0
savings_balance,-0.1706283343769669,0.0
age,-0.16817980678867256,0.0
savings_to_income,-0.1657430927841985,0.0
disposable_income,-0.15610645855869926,0.0
closed_loans,-0.14506115490553076,3.76232688e-315
dti,0.14390601304635484,3.9110949880209e-310
credit_utilization,0.14175802520571817,6.4591942392234965e-301
num_credit_accounts,-0.13925390012922328,2.3688267078059846e-290
delinquency_rate,0.1332792564086276,6.192221032356169e-266
total_credit_limit,-0.13316001592825907,1.8530173334108195e-265
active_loan_ratio,0.13051065316934765,5.383700035941649e-255
previous_defaults,0.12701832570434998,1.5551283341678276e-241
monthly_income,-0.12210019285593438,3.2379479654399726e-223
annual_income,-0.12149949121270738,4.973933496129376e-221
emi_to_income,0.11520554029372888,8.706347764544004e-199
total_assets,-0.11254540828013802,9.471227872400745e-190
income_per_dependent,-0.0976457294857655,4.0717540475081277e-143
has_prior_default,0.09628577230791133,3.397141377502116e-139
late_payments_12m,0.09309607857966373,3.230960389179396e-130
accounts_per_year,0.0929582749755054,7.767864480994116e-130
monthly_expenses,-0.09008832178395691,4.949269599818353e-122
interest_rate,-0.0883610498323644,1.8707940824714735e-117
existing_loan_count,0.08437212369880516,3.167236347060758e-107
active_loans,0.06794223582172984,4.0970461202712865e-70
leverage_ratio,0.0589303850829738,3.5967287079395325e-53
total_outstanding,-0.053753651402367826,1.5891758349108196e-44
total_liabilities,-0.04975641662673621,2.1639948314651524e-38
missed_payments_12m,0.04041491318809709,6.868620209084422e-26
net_worth,-0.037922246517013876,5.495066950850855e-23
city_tier,0.0291609654617737,3.192258852283909e-14
employment_stability,-0.020473066445704437,9.911601171224793e-08
dependents,0.013144160970060909,0.0006246032567356616
proposed_emi,0.00977898340158822,0.010931517302838503
monthly_emi,0.003144065329072709,0.4132468198810532
existing_loan_amount,0.0026300875176226875,0.4936985059243676
