month,n,n_default,default_rate
2022-08,2064,255,0.12354651162790697
2022-09,2564,320,0.12480499219968799
2022-10,2743,330,0.12030623405030988
2022-11,2673,320,0.11971567527123082
2022-12,2747,314,0.11430651619949035
2023-01,2816,348,0.12357954545454546
2023-02,2532,315,0.12440758293838862
2023-03,2699,328,0.12152649129307151
2023-04,2677,294,0.10982443033246171
2023-05,2712,286,0.10545722713864307
2023-06,2672,284,0.1062874251497006
2023-07,2710,297,0.10959409594095941
2023-08,2742,314,0.11451495258935084
2023-09,2594,289,0.11141094834232845
2023-10,2708,286,0.10561299852289513
2023-11,2634,288,0.10933940774487472
2023-12,2808,304,0.10826210826210826
2024-01,2752,283,0.1028343023255814
2024-02,2529,243,0.09608540925266904
2024-03,2733,298,0.10903768752286865
2024-04,2589,313,0.1208960988798764
2024-05,2748,302,0.1098981077147016
2024-06,2631,280,0.1064234131508932
2024-07,2736,296,0.10818713450292397
2024-08,2702,291,0.1076980014803849
2024-09,2609,250,0.09582215408202377
2024-10,2771,319,0.11512089498376038
2024-11,2593,286,0.11029695333590436
2024-12,2702,292,0.1080680977054034
2025-01,2768,277,0.10007225433526011
2025-02,2585,284,0.10986460348162476
2025-03,2665,294,0.11031894934333959
2025-04,2688,272,0.10119047619047619
2025-05,2787,312,0.11194833153928956
2025-06,2621,276,0.10530331934376193
2025-07,2720,312,0.11470588235294117
2025-08,725,86,0.11862068965517242
