feature,n,n_missing,mean,std,min,p25,median,p75,max,skew,kurtosis,log_transform_flag
age,96749,0,39.45997374649867,10.156248339407654,18.0,32.0,39.0,46.0,100.0,0.7883206741817029,2.4619606228353987,False
annual_income,96749,0,409398.920225135,256424.19010839326,62305.810391495725,225591.55076013692,346389.7601128902,525808.4412848187,1338453.5708556876,1.335838174434708,1.8493872749000992,True
monthly_income,96749,0,34095.22797990057,21394.387293912903,5428.5919194682865,18743.50173483418,28824.624864547994,43804.20472278925,111022.76698586222,1.3320417347948035,1.8179364879009583,True
loan_amount,96749,0,480915.00925796275,670317.5390654958,22537.59390372558,117446.73341899765,234642.36945264647,512082.4492904266,3810880.796324685,2.8857468493025937,9.138472619348375,True
interest_rate,96749,0,13.10761437343448,5.494337111721591,2.0115836701926675,9.36463484798777,11.938257062367319,15.084802888747582,32.41367637955487,1.0052456141649406,0.4797400491801298,True
loan_tenure_months,96749,0,70.96798933322309,78.73057441356582,6.0,25.0,43.0,71.0,360.0,2.110389560523307,3.5804104285557576,True
dti,96749,0,0.6809650111989666,0.15747258410907455,0.2898396321816114,0.565407372447258,0.6752249598223998,0.7888638093485114,1.4003088524199265,0.23994908851205843,-0.248859031765432,False
post_loan_dti,96749,0,0.9995079109695846,0.2846393466419352,0.3895631577943038,0.8088358336514376,0.9598087256850839,1.1381004336098781,5.0,1.561962294034644,6.353343693875704,True
credit_utilization,96749,0,0.34155587952293154,0.1650226344071738,0.011804057663534921,0.21448431633403903,0.3222940726274338,0.4480462833426086,1.0538061150386744,0.5545796528040676,-0.0991964792684823,False
savings_to_income,96749,0,2.96021519269039,1.6099264296211806,0.023099487633131053,1.739264431253889,2.847075450474828,4.02712876730238,12.08544633322422,0.452504833387085,-0.061981551042880945,False
credit_history_years,96749,0,10.203150247892312,5.735702791467888,0.0,5.916666666666667,9.833333333333334,14.083333333333334,32.583333333333336,0.3808536928754579,-0.3079326519693639,False
